,corr_pair,corr_metrics,CodeBertsim,CodeBertfake_pair,CodeBertfake_sim,ISUB StringMatchersim,ISUB StringMatcherfake_pair,ISUB StringMatcherfake_sim,Levenshtein Similaritysim,Levenshtein Similarityfake_pair,Levenshtein Similarityfake_sim,JaroWinklersim,JaroWinklerfake_pair,JaroWinklerfake_sim
167,"('ARRAY_END123', 'ARRAY_END130')",4,tensor(0.9991),,,0.9395397489539749,,,0.8333333333333334,,,0.9907407407407407,,
168,"('ARRAY_END123_tree', 'ARRAY_END130_tree')",4,tensor(0.9998),,,0.9593468255469391,,,0.8823529411764706,,,0.9838523644752019,,
169,"('ARRAY_END130', 'ARRAY_END133')",4,tensor(0.9994),,,0.9395397489539749,,,0.9166666666666666,,,0.9953703703703703,,
170,"('ARRAY_END130_tree', 'ARRAY_END133_tree')",4,tensor(0.9998),,,0.9593468255469391,,,0.9411764705882353,,,0.986159169550173,,
171,"('ARRAY_END133', 'ARRAY_END168')",4,tensor(0.9993),,,0.8615384615384616,,,0.8333333333333334,,,0.9814814814814815,,
172,"('ARRAY_END133_tree', 'ARRAY_END168_tree')",4,tensor(0.9998),,,0.9093112621933196,,,0.8823529411764706,,,0.9677047289504037,,
173,"('ARRAY_END168', 'ARRAY_END178')",4,tensor(0.9997),,,0.9395397489539749,,,0.9166666666666666,,,0.9907407407407407,,
174,"('ARRAY_END168_tree', 'ARRAY_END178_tree')",4,tensor(0.9998),,,0.9593468255469391,,,0.9411764705882353,,,0.9838523644752019,,
175,"('ARRAY_END178', 'ARRAY_END84')",4,tensor(0.9996),,,0.9,,,0.75,,,0.9785353535353535,,
176,"('ARRAY_END178_tree', 'ARRAY_END84_tree')",4,tensor(0.9998),,,0.9344655344655345,,,0.8235294117647058,,,0.9717416378316033,,
177,"('ARRAY_OPEN10', 'ARRAY_OPEN11')",4,tensor(0.9998),,,0.9395397489539749,,,0.9166666666666666,,,0.9953703703703703,,
178,"('ARRAY_OPEN11', 'ARRAY_OPEN7')",4,tensor(0.9991),,,0.9,,,0.8333333333333334,,,0.9856902356902357,,
179,"('ARRAY_OPEN4', 'ARRAY_OPEN7')",4,tensor(0.9995),,,0.9331088664421997,,,0.9090909090909091,,,0.9944903581267218,,
180,"('ARRAY_OPEN7', 'ARRAY_OPEN8')",1,tensor(0.9996),,,0.9331088664421997,"('ARRAY_OPEN7', 'array_open27')",0.9739130434782609,0.9090909090909091,"('ARRAY_OPEN7', 'array_open27')",0.9166666666666666,0.9944903581267218,"('ARRAY_OPEN7', 'array_open27')",0.9953703703703703
181,"('ARRAY_OPEN8', 'ARRAY_OPEN9')",4,tensor(0.9998),,,0.9331088664421997,,,0.9090909090909091,,,0.9944903581267218,,
182,"('ARRAY_OPEN9', 'ARRAY_OPEN10')",4,tensor(0.9998),,,0.9,,,0.8333333333333334,,,0.9856902356902357,,
183,"('ARRAY_START121', 'ARRAY_START128')",4,tensor(0.9996),,,0.9493546951490878,,,0.9285714285714286,,,0.9965986394557823,,
184,"('ARRAY_START121_tree', 'ARRAY_START128_tree')",4,tensor(0.9999),,,0.9640995314561251,,,0.9473684210526316,,,0.9889196675900277,,
185,"('ARRAY_START128', 'ARRAY_START131')",4,tensor(0.9995),,,0.885383980181668,,,0.8571428571428572,,,0.9863945578231292,,
186,"('ARRAY_START128_tree', 'ARRAY_START131_tree')",4,tensor(0.9998),,,0.9205421867627505,,,0.8947368421052632,,,0.974145891043398,,
187,"('ARRAY_START131', 'ARRAY_START166')",3,tensor(0.9985),"('ARRAY_START131', 'GROOVYEXPRESSION68')",tensor(0.9986),0.885383980181668,,,0.8571428571428572,,,0.9863945578231292,,
188,"('ARRAY_START131_tree', 'ARRAY_START166_tree')",4,tensor(0.9995),,,0.9205421867627505,,,0.8947368421052632,,,0.974145891043398,,
189,"('ARRAY_START166', 'ARRAY_START176')",4,tensor(0.9994),,,0.9493546951490878,,,0.9285714285714286,,,0.9931972789115646,,
190,"('ARRAY_START166_tree', 'ARRAY_START176_tree')",4,tensor(0.9997),,,0.9640995314561251,,,0.9473684210526316,,,0.9870729455216989,,
191,"('ARRAY_START176', 'ARRAY_START82')",4,tensor(0.9995),,,0.8439787092481703,,,0.7857142857142857,,,0.9737048665620094,,
192,"('ARRAY_START176_tree', 'ARRAY_START82_tree')",4,tensor(0.9998),,,0.8938771826918739,,,0.8421052631578947,,,0.962244793269724,,
193,"('AS37', 'AS39')",4,tensor(0.9999),,,0.7443548387096774,,,0.75,,,0.8833333333333334,,
194,"('AS37_tree', 'AS39_tree')",4,tensor(0.9999),,,0.9041716807059766,,,0.8888888888888888,,,0.9481481481481482,,
195,"('AS39', 'AS41')",2,tensor(0.9998),,,0.3222222222222222,"('LA41_2', 'AS41')",0.4529411764705882,0.5,,,0.6666666666666666,"('LA41_2', 'AS41')",0.75
196,"('AS39_tree', 'AS41_tree')",4,tensor(0.9999),,,0.7570756424176619,,,0.7777777777777778,,,0.8814814814814814,,
