,corr_pair,corr_metrics,ISUB StringMatchersim,ISUB StringMatcherfake_pair,ISUB StringMatcherfake_sim,Levenshtein Similaritysim,Levenshtein Similarityfake_pair,Levenshtein Similarityfake_sim,JaroWinklersim,JaroWinklerfake_pair,JaroWinklerfake_sim
182,"('ARRAY_OPEN9', 'ARRAY_OPEN10')",3,0.9,,,0.7407407407407407,,,0.9856902356902357,,
183,"('ARRAY_START121', 'ARRAY_START128')",3,0.9493546951490878,,,0.8748524203069658,,,0.9965986394557823,,
184,"('ARRAY_START121_tree', 'ARRAY_START128_tree')",3,0.9640995314561251,,,0.8925619834710744,,,0.9889196675900277,,
185,"('ARRAY_START128', 'ARRAY_START131')",2,0.885383980181668,"('ARRAY_START131_tree', 'ARRAY_START131')",0.9090909090909091,0.8370535714285715,,,0.9863945578231292,,
186,"('ARRAY_START128_tree', 'ARRAY_START131_tree')",3,0.9205421867627505,,,0.873766447368421,,,0.974145891043398,,
187,"('ARRAY_START131', 'ARRAY_START166')",3,0.885383980181668,,,0.6281352235550709,,,0.9863945578231292,,
188,"('ARRAY_START131_tree', 'ARRAY_START166_tree')",3,0.9205421867627505,,,0.6556850140618723,,,0.974145891043398,,
189,"('ARRAY_START166', 'ARRAY_START176')",3,0.9493546951490878,,,0.8726333907056799,,,0.9931972789115646,,
190,"('ARRAY_START166_tree', 'ARRAY_START176_tree')",3,0.9640995314561251,,,0.8902980342422322,,,0.9870729455216989,,
191,"('ARRAY_START176', 'ARRAY_START82')",0,0.8439787092481703,"('ARRAY_START121', 'ARRAY_START82')",0.917256162915327,-0.11498257839721247,"('BollingerBandsLowerBand', 'ARRAY_START82')",0.17391304347826086,0.9737048665620094,"('ARRAY_START121', 'ARRAY_START82')",0.9843014128728415
192,"('ARRAY_START176_tree', 'ARRAY_START82_tree')",2,0.8938771826918739,,,-0.12323491655969183,"('COLON35_tree', 'ARRAY_START82_tree')",-0.09523809523809522,0.962244793269724,,
193,"('AS37', 'AS39')",3,0.7443548387096774,,,0.7094594594594594,,,0.8833333333333334,,
194,"('AS37_tree', 'AS39_tree')",3,0.9041716807059766,,,0.8408408408408408,,,0.9481481481481482,,
195,"('AS39', 'AS41')",1,0.3222222222222222,"('ARGS71', 'AS41')",0.4929411764705882,0.47435897435897434,,,0.6666666666666666,"('ARGS71', 'AS41')",0.775
